planet_name,planetary_mass,planetary_radius,orbital_period,star_mass,star_radius,star_teff,semi_major_axis,planet_updated,planet_discovered
TOI-1749 Ab,19.076305220883597,1.389916,2.38839,0.58,0.55,3985.0,0.0291,2025-03-21,2021
TOI-1749 Ac,2.0983935742971958,2.1196219,4.4929,0.58,0.55,3985.0,0.0443,2025-03-21,2021
TOI-1749 Ad,4.29216867469881,2.5197832,9.0497,0.58,0.55,3985.0,0.0707,2025-07-27,2021
TOI-1751 b,17.105087014725626,2.7899201000000002,37.468489,1.15,1.17,6116.0,0.2115,2024-02-13,2024
TOI-1753 b,16.596385542168733,2.3404392,5.3846104,1.02,0.95,5700.0,0.059,2024-05-31,2024
TOI-1758 b,6.899263721552902,3.396327,20.705127,0.88,0.8,5170.0,0.138,2024-06-05,2024
TOI-1759 Ab,6.803882195448484,3.060057,18.849975,0.61,0.6,4036.0,0.1176,2025-07-08,2022
TOI-1775 b,96.01740294511411,8.698184,10.2405549,0.9,0.84,5251.0,0.082,2024-08-16,2024
TOI-1776 b,1.3989290495314641,1.401125,2.799868,1.02,0.95,5724.0,0.0378,2024-06-13,2024
TOI-1778 b,8.384036144578342,2.70506797,6.527282,1.17,1.31,6046.0,0.072,2024-06-16,2024
TOI-1789 b,222.55689424364198,15.692599999999999,3.208666,1.499,2.172,5984.0,0.04873,2021-06-17,2021
TOI-178 b,1.5006693440428431,1.1520610199999999,1.914558,0.65,0.651,4316.0,0.02607,2021-02-05,2020
TOI-178 c,4.772255689424381,1.6690201,3.23845,0.65,0.651,4316.0,0.037,2021-02-05,2018
TOI-178 d,3.010876840696128,2.57201714,6.5577,0.65,0.651,4316.0,0.0592,2021-02-05,2018
TOI-178 e,3.8597724230254484,2.2070521,9.961881,0.65,0.651,4316.0,0.0783,2021-02-05,2020
TOI-178 f,7.722724230254377,2.2869722699999997,15.231915,0.65,0.651,4316.0,0.1039,2021-02-05,2019
TOI-178 g,3.942436412315944,2.869504,20.7095,0.65,0.651,4316.0,0.1275,2021-02-05,2020
TOI-1794 b,8.711512717536843,3.02643,8.765528,1.02,1.3,5707.0,0.082,2024-06-06,2024
TOI-1798 b,6.51773761713523,2.7596558,8.02154,0.87,0.78,5165.0,0.074,2024-06-03,2024
TOI-1798 c,5.5957161981258565,1.401125,0.4378146,0.87,0.78,5165.0,0.0107,2024-06-14,2024
TOI-1799 b,4.13319946452478,1.6197004999999998,7.085738,1.0,0.96,5690.0,0.071,2024-06-06,2024
TOI-179 Ab,24.09973226238295,2.7305124,4.1374386,0.807,0.798,5083.0,0.0476,2025-10-14,2019
TOI-1801 Ab,5.790930388219565,2.0904785,10.64396,0.54,0.55,3815.0,0.078,2024-08-05,2019
TOI-1803 b,10.301204819277142,2.9905611999999997,6.293287,0.756,0.715,4687.0,0.06,2024-12-10,2024
TOI-1803 c,6.04082998661314,4.289684299999999,12.885779,0.756,0.715,4687.0,0.097,2024-12-10,2024
TOI-1807 b,2.572121820615805,1.3697398,0.549374,0.75,0.68,4757.0,0.012,2023-10-27,2021
TOI-1811 b,309.67202141901043,11.209,3.7130818,0.819,0.773,4673.0,0.04393,2022-05-13,2022
TOI-181 b,41.3319946452478,6.930524699999999,4.53206,0.781,0.74,4994.0,0.05578,2022-11-16,2022
TOI-1820 Ab,731.2583668005379,12.55408,4.8607,1.04,1.51,5734.0,0.069,2024-07-28,2022
TOI-1823 b,67.43473895582353,7.540294299999999,38.8,0.77,0.822,4926.0,0.212,2024-06-22,2024
TOI-1824 Ab,18.50401606425709,2.6296314,22.80857,0.85,0.8,5180.0,0.149,2025-02-11,2024
TOI-1828 b,58.53246318607785,8.619721,9.0941045,1.04,1.562,5809.0,0.08587,2024-06-26,2024
TOI-1836 Ab,29.25033467202152,8.76409292,20.38084,1.29,1.611,6369.0,0.1577,2024-09-06,2024
TOI-1836 Ac,7.9484605087015,2.600488,1.7727471,1.29,1.611,6369.0,0.03089,2024-07-28,2024
TOI-1842 b,68.03882195448483,11.65736,9.5739,1.46,2.02,6230.0,0.1,2021-12-03,2021
TOI-1846 b,4.387550200803227,1.79198283,3.9306737,0.418,0.397,3568.0,0.03646,2025-06-24,2025
TOI-1860 Ab,2.1937751004016137,1.3103321,1.062107,0.99,0.94,5752.0,0.0204,2025-02-11,2022
TOI-1885 b,516.5863453815278,13.660408299999999,6.54406,1.2,1.757,6232.0,0.0728,2024-06-26,2024
